Name,Inclination,Mean_Motion,Altitude,Orbit_Type,Velocity
ATLAS CENTAUR 2,30.3547,14.12237121,858.8634147225312,LEO,7.8
THOR AGENA D R/B,99.12,14.34038689,785.3998141468483,LEO,7.8
SL-3 R/B,65.0769,14.61393498,695.815085956905,LEO,7.8
SL-8 R/B,74.0097,14.45649102,747.0316401269629,LEO,7.8
SL-8 R/B,74.0299,15.03505895,563.2327981697672,LEO,7.8
OAO 2,34.9935,14.47327199,741.528596561021,LEO,7.8
ISIS 1,88.4472,11.304226,2015.381606631112,MEO,3.9
SERT 2,99.2802,13.58734113,1047.4331687736003,LEO,7.8
SL-3 R/B,81.2378,15.64353254,382.2364322876256,LEO,7.8
ASTEX 1,92.7066,14.50804867,730.1579401322642,LEO,7.8
SL-8 R/B,73.8837,14.3847886,770.6657274137151,LEO,7.8
OAO 3 (COPERNICUS),35.005,14.60025234,700.2295115068437,LEO,7.8
ATLAS CENTAUR R/B,35.0009,14.77786469,643.4568963474467,LEO,7.8
SL-8 R/B,74.0604,14.38223,771.5127042820759,LEO,7.8
SL-3 R/B,97.5809,15.46505767,434.09426409588923,LEO,7.8
SEASAT 1,108.007,14.46191325,745.2523450355102,LEO,7.8
SL-14 R/B,82.5233,14.9195638,598.9729188025985,LEO,7.8
SL-8 R/B,74.0712,14.42374273,757.801625404637,LEO,7.8
SL-14 R/B,82.5112,14.9097206,602.0402372141389,LEO,7.8
SL-8 R/B,82.937,15.1254005,535.5938776415696,LEO,7.8
SL-3 R/B,81.2296,15.42886436,444.73245000486986,LEO,7.8
SL-3 R/B,81.1601,15.21780955,507.6056417776781,LEO,7.8
SL-3 R/B,81.1712,15.22322766,505.973431931955,LEO,7.8
SL-3 R/B,81.1526,15.10274056,542.5005222780774,LEO,7.8
SL-3 R/B,81.1461,15.25236204,497.21325012342913,LEO,7.8
SL-14 R/B,82.5645,14.86697912,615.3984961816413,LEO,7.8
SL-3 R/B,81.1024,15.47498195,431.1844973621619,LEO,7.8
SL-3 R/B,97.6132,15.39263422,455.4231985254528,LEO,7.8
COSMOS 1536,82.543,15.2432661,499.94523873832986,LEO,7.8
SL-14 R/B,82.544,14.86015018,617.5387187308579,LEO,7.8
SL-8 R/B,74.0465,14.37807208,772.8896420279198,LEO,7.8
SL-12 R/B(2),71.1105,14.21992686,825.758558081201,LEO,7.8
SL-14 R/B,82.5294,14.86470209,616.1119461946082,LEO,7.8
SL-16 R/B,71.0024,14.16604771,843.9951125205416,LEO,7.8
SL-14 R/B,82.5279,14.86877685,614.8353513939956,LEO,7.8
COSMOS 1743,82.5306,15.6174648,389.7490760702585,LEO,7.8
SL-14 R/B,82.4832,14.85626299,618.7577149799572,LEO,7.8
SL-14 R/B,82.517,14.85675201,618.6043324161483,LEO,7.8
AJISAI (EGS),50.0117,12.44515746,1494.6553102792968,LEO,7.8
SL-14 R/B,82.5279,14.86167484,617.0607408559445,LEO,7.8
COSMOS 1833,70.9162,14.1303929,856.1269391873293,LEO,7.8
SL-16 R/B,71.0036,14.17169622,842.0778318057546,LEO,7.8
SL-14 R/B,82.4987,14.85402967,619.458309359633,LEO,7.8
COSMOS 1844,70.9004,14.14564936,850.9295719236279,LEO,7.8
SL-14 R/B,82.498,14.85662278,618.6448649683871,LEO,7.8
COSMOS 1867,65.011,14.31508593,793.82963854419,LEO,7.8
SL-14 R/B,82.5143,14.85564298,618.9521950412654,LEO,7.8
COSMOS 1933,82.5146,15.18324076,518.0423655501199,LEO,7.8
SL-3 R/B,97.5225,15.20299608,512.0731593378896,LEO,7.8
SL-16 R/B,71.0171,14.19622381,833.7671522532701,LEO,7.8
COSMOS 1953,82.5054,15.29072338,485.72113396573786,LEO,7.8
SL-8 R/B,74.0484,14.38937834,769.1470084963366,LEO,7.8
COSMOS 1975,82.5168,15.28542166,487.3065362853049,LEO,7.8
SL-14 R/B,82.5346,14.85696878,618.5363445585972,LEO,7.8
SL-16 R/B,70.9986,14.16160064,845.5054836570425,LEO,7.8
INTERCOSMOS 24,82.6021,12.59595855,1431.7500076999204,LEO,7.8
SL-14 R/B,82.5928,12.50523821,1469.441679402331,LEO,7.8
DELTA 1 R/B,97.0677,14.50691754,730.5270618922686,LEO,7.8
ARIANE 40 R/B,98.3015,14.39894033,765.98559191605,LEO,7.8
DELTA 2 R/B(1),35.6028,15.60788884,392.5140899722337,LEO,7.8
COSMOS 2058,82.4725,15.11650743,538.3023869689978,LEO,7.8
SL-14 R/B,82.5023,14.8360449,625.1065531555405,LEO,7.8
SL-14 R/B,82.5242,14.82179043,629.5913830415975,LEO,7.8
HST,28.4729,15.30041369,482.82575391327737,LEO,7.8
SL-16 R/B,70.9994,14.1501753,849.3895315155905,LEO,7.8
COSMOS 2084,62.7901,15.05862852,555.9953285386173,LEO,7.8
SL-6 R/B(2),62.7806,15.03757058,562.4606560702377,LEO,7.8
SL-8 R/B,82.9047,14.90038616,604.9521363178828,LEO,7.8
SL-8 R/B,82.9416,13.77500792,979.9014967601133,LEO,7.8
OKEAN-3,82.5145,15.05009786,558.6126431254215,LEO,7.8
COSMOS 2151,82.4974,15.00262836,573.2221730844485,LEO,7.8
SL-14 R/B,82.4957,14.81864482,630.5820427371618,LEO,7.8
ERS-1,98.7848,14.39476688,767.365001236989,LEO,7.8
ARIANE 40 R/B,98.1942,14.42919572,756.0054646391782,LEO,7.8
INTERCOSMOS 25,82.5993,12.12113016,1634.21679961682,LEO,7.8
SL-8 R/B,82.926,13.75970183,985.3518430853637,LEO,7.8
SL-8 R/B,82.9278,13.75550038,986.8497055370972,LEO,7.8
USA 81,85.0033,14.32379674,790.9245523076615,LEO,7.8
COSMOS 2219,71.0589,14.14088572,852.5513817601686,LEO,7.8
SL-16 R/B,70.9976,14.16865577,843.1096971928773,LEO,7.8
COSMOS 2221,82.5026,14.96355975,585.3041104359281,LEO,7.8
SL-16 R/B,71.0202,14.15453736,847.9060312321799,LEO,7.8
COSMOS 2228,82.5205,14.97376831,582.1420509388745,LEO,7.8
SL-16 R/B,71.0064,14.15313796,848.3818724983903,LEO,7.8
COSMOS 2242,82.5191,14.96709416,584.2089346540133,LEO,7.8
SL-16 R/B,70.9896,14.17239094,841.8421100942842,LEO,7.8
ARIANE 40 R/B,98.4856,14.32879956,789.2574247614566,LEO,7.8
COSMOS 2278,71.0506,14.14378844,851.5630249547548,LEO,7.8
SL-16 R/B,71.0026,14.15019376,849.3832518173758,LEO,7.8
SL-16 R/B,97.7055,14.79447819,638.2046439177229,LEO,7.8
SL-16 R/B,70.981,14.15566645,847.5221612581345,LEO,7.8
ARIANE 40+ R/B,98.4442,14.39797808,766.3035758187934,LEO,7.8
SL-16 R/B,71.0189,14.15501863,847.7424019835908,LEO,7.8
SL-16 R/B,70.758,14.12425039,858.2221291963206,LEO,7.8
ORBVIEW 2 (SEASTAR),98.8625,14.35519629,780.4770801915665,LEO,7.8
SL-16 R/B,98.831,14.26057991,812.074712115611,LEO,7.8
SL-16 R/B,71.009,14.16198324,845.3755090443328,LEO,7.8
ISS (ZARYA),51.6318,15.4889906,427.08249597694794,LEO,7.8
CZ-4B R/B,98.6557,14.18272276,838.3387471885071,LEO,7.8
OKEAN-O,97.9374,14.80390938,635.2274050448614,LEO,7.8
